[2026-03-24 16:50:43] SERVER_START PID:29306 PORT:50514 SID:1025
[2026-03-24 17:06:08] 127.0.0.1:55690 PID:37054 user:- CMD:CONNECT RESULT:OK
[2026-03-24 17:15:23] 127.0.0.1:55690 PID:37054 user:aaqib CMD:REGISTER RESULT:OK
[2026-03-24 17:16:09] 127.0.0.1:55690 PID:37054 user:aaqib CMD:LOGIN RESULT:OK
[2026-03-24 17:17:05] 127.0.0.1:55690 PID:37054 user:aaqib CMD:ECHO RESULT:OK
[2026-03-24 17:18:22] 127.0.0.1:55690 PID:37054 user:aaqib CMD:LOGIN RESULT:WRONG_PASS
[2026-03-24 17:18:39] 127.0.0.1:55690 PID:37054 user:aaqib CMD:LOGIN RESULT:WRONG_PASS
[2026-03-24 17:18:52] 127.0.0.1:55690 PID:37054 user:aaqib CMD:LOGIN RESULT:LOCKED_NOW
[2026-03-24 17:20:32] 127.0.0.1:55690 PID:37054 user:aaqib CMD:QUIT RESULT:OK
[2026-03-24 17:21:25] 127.0.0.1:38462 PID:44449 user:- CMD:CONNECT RESULT:OK
[2026-03-24 17:22:20] 127.0.0.1:38462 PID:44449 user:testuser CMD:REGISTER RESULT:OK
[2026-03-24 17:22:58] 127.0.0.1:38462 PID:44449 user:testuser CMD:LOGIN RESULT:OK
[2026-03-24 17:23:33] 127.0.0.1:38462 PID:44449 user:testuser CMD:LOGOUT RESULT:OK
